Description,Metric,t-statistic,p-value;;;;;;;;;;;;;;
Metryki,Dokladnosc,Precyzja,F1-score,Recall;;;;;;;;;;;;;;
Adasyn,0.8125 +/- 0.0324,0.9172 +/-  0.0392,0.7811 +/- 0.0404,0.681 +/-  0.0453;;;;;;;;;;;;;;
Future Adasyn,0.8355 +/-  0.0241,0.9092 +/-  0.0347,0.8183 +/-  0.0351,0.748 +/-  0.0633;;;;;;;;;;Metryki;Dokladnosc;Precyzja;F1-score;Recall
BorderlineSMOTE,0.8226 +/-  0.0253,0.9524 +/-  0.0228,0.7919 +/-  0.0349,0.6795  +/- 0.0509;;;;;;;;;;Adasyn;0.8125 +/- 0.0324;0.9172 +/-  0.0392;0.7811 +/- 0.0404;0.681 +/-  0.0453
SMOTE,0.839 +/- 0.0305,0.9039 +/- 0.0346,0.8238 +/- 0.0422,0.7609 +/- 0.0695;;;;;;;;;;Future Adasyn;0.8355 +/-  0.0241;0.9092 +/-  0.0347;0.8183 +/-  0.0351;0.748 +/-  0.0633
;;;;;;;;;;BorderlineSMOTE;0.8226 +/-  0.0253;0.9524 +/-  0.0228;0.7919 +/-  0.0349;0.6795  +/- 0.0509
;;;;;;;;;;SMOTE;0.839 +/- 0.0305;0.9039 +/- 0.0346;0.8238 +/- 0.0422;0.7609 +/- 0.0695
